Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Percentage of unsentenced detainees as a proportion of overall prison population,37.5,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sumatera Utara,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,26.3,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sumatera Barat,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,28,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Riau,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,26.6,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Jambi,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,29.7,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sumatera Selatan,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,26.5,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Bengkulu,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,35.9,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Lampung,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,30.8,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Kepulauan Bangka Belitung,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,24.1,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Kepulauan Riau,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,42.8,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,DKI Jakarta,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,25.4,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Jawa Barat,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,29.8,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Jawa Tengah,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,32.1,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,DI Yogyakarta,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,35.6,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Jawa Timur,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,31.7,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Banten,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,27.5,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Bali,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,30.7,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Nusa Tenggara Barat,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,16.1,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Nusa Tenggara Timur,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,32.5,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Kalimantan Barat,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,24.1,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Kalimantan Tengah,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,27.8,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Kalimantan Selatan,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,29.4,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Kalimantan Timur,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Kalimantan Utara,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,37.4,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Utara,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,36,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Tengah,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,43.9,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Selatan,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,37.8,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Tenggara,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,30.4,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Gorontalo,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,34.9,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Barat,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,30,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Maluku,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,30.9,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Maluku Utara,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,40.4,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Papua Barat,,,16,,,,,,,,,,,,
Percentage of unsentenced detainees as a proportion of overall prison population,19.5,Percent ,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Papua,,,16,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.7,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.6,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Aceh,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.9,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Utara,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",3.8,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.1,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Riau,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.1,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jambi,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Selatan,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.1,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Lampung,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.8,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Bangka Belitung,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.3,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.3,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DKI Jakarta,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.3,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.6,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",13.1,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.8,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Timur,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.4,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Tengah,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.5,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Selatan,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.6,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Utara,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.7,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Utara,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.7,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tengah,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.5,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Selatan,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.7,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Tenggara,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.3,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Gorontalo,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",1.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",1.4,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",0.3,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Maluku Utara,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",2.2,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters annual average for 2005-2015 (per 100,000 people)",1.5,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Papua,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",1562,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,All Indonesia,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",27,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Aceh,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",120,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Utara,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",183,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",4,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Riau,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",3,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jambi,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",13,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sumatera Selatan,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",3,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bengkulu,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",6,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Lampung,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",10,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Bangka Belitung,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",5,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kepulauan Riau,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",28,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DKI Jakarta,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",134,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",196,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",451,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,DI Yogyakarta,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",68,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Timur,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",20,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Banten,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",10,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Bali,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",8,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",36,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Timur,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",7,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Barat,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",9,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Tengah,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",17,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Selatan,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",22,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Timur,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Kalimantan Utara,,,13,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",15,Number,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Utara,,,13,,,,,,,,,,,,
